Density Functional 	 E_H 	 E_L 	 E_S 	 HLGAP 	 J_I 	 J_A 	 J_HL 	 Delta_SL
RPBE0DH(B2H6) 	 -1019.63906 	 11.23714 	 202.74109 	 1030.8762 	 139.81795 	 95.32584 	 169.22197 	 191.50395
RPBE0DH(B2H6) 	 -1019.63906 	 11.23714 	 202.74109 	 1030.8762 	 139.81795 	 95.32584 	 169.22197 	 191.50395
RPBE0DH(B2H6) 	 -1019.63906 	 11.23714 	 202.74109 	 1030.8762 	 139.81795 	 95.32584 	 169.22197 	 191.50395
RPBE0DH(B2H6) 	 -1019.63906 	 11.23714 	 202.74109 	 1030.8762 	 139.81795 	 95.32584 	 169.22197 	 191.50395
