Density Functional 	 E_H 	 E_L 	 E_S 	 HLGAP 	 J_I 	 J_A 	 J_HL 	 Delta_SL
RPBE0DH(B2H6) 	 -10.5679 	 0.11647 	 2.10128 	 10.68436 	 1.44912 	 0.98799 	 1.75388 	 1.98481
RPBE0DH(B2H6) 	 -10.5679 	 0.11647 	 2.10128 	 10.68436 	 1.44912 	 0.98799 	 1.75388 	 1.98481
RPBE0DH(B2H6) 	 -10.5679 	 0.11647 	 2.10128 	 10.68436 	 1.44912 	 0.98799 	 1.75388 	 1.98481
RPBE0DH(B2H6) 	 -10.5679 	 0.11647 	 2.10128 	 10.68436 	 1.44912 	 0.98799 	 1.75388 	 1.98481
