Density Functional 	 E_H 	 E_L 	 E_S 	 HLGAP 	 J_I 	 J_A 	 J_HL 	 Delta_SL
RPBE0DH(B2H6) 	 -243.69959 	 2.68574 	 48.45628 	 246.38533 	 33.41729 	 22.78342 	 40.44502 	 45.77054
RPBE0DH(B2H6) 	 -243.69959 	 2.68574 	 48.45628 	 246.38533 	 33.41729 	 22.78342 	 40.44502 	 45.77054
RPBE0DH(B2H6) 	 -243.69959 	 2.68574 	 48.45628 	 246.38533 	 33.41729 	 22.78342 	 40.44502 	 45.77054
RPBE0DH(B2H6) 	 -243.69959 	 2.68574 	 48.45628 	 246.38533 	 33.41729 	 22.78342 	 40.44502 	 45.77054
