Density Functional 	 E_H 	 E_L 	 E_S 	 HLGAP 	 J_I 	 J_A 	 J_HL 	 Delta_SL
RPBE0DH(B2H6) 	 -0.38836 	 0.00428 	 0.07722 	 0.39264 	 0.05325 	 0.03631 	 0.06445 	 0.07294
RPBE0DH(B2H6) 	 -0.38836 	 0.00428 	 0.07722 	 0.39264 	 0.05325 	 0.03631 	 0.06445 	 0.07294
RPBE0DH(B2H6) 	 -0.38836 	 0.00428 	 0.07722 	 0.39264 	 0.05325 	 0.03631 	 0.06445 	 0.07294
RPBE0DH(B2H6) 	 -0.38836 	 0.00428 	 0.07722 	 0.39264 	 0.05325 	 0.03631 	 0.06445 	 0.07294
